1141,700
94,21
1121,880
1078,686
1236,824
1165,413
1213,435
803,323
845,96
1046,848
701,348
98,677
659,24
366,592
426,593
756,718
606,829
850,248
964,372
1233,807
1108,281
152,858
165,551
1173,612
385,819
1116,646
32,134
1240,582
224,116
560,889
43,525
905,442
140,544
869,560
633,390
627,513
554,176
865,883
1004,285
616,750
980,553
455,71
920,800
1225,472
764,807
1048,665
823,844
398,78
458,312
405,548
957,836
905,715
1002,792
546,191
925,595
1261,560
1134,495
753,780
602,86
383,864
146,525
236,833
1193,124
147,892
422,460
1111,883
194,248
671,507
147,225
308,614
1178,381
179,347
882,73
1174,434
139,283
1096,366
663,226
150,812
957,516
290,612
150,63
746,161
1173,115
830,660
254,841
962,88
365,72
586,87
472,754
1160,530
889,161
1151,60
808,281
858,134
495,386
319,516
856,80
366,78
229,435
498,824
609,348
1255,127
366,582
1004,624
318,84
470,424
1216,460
785,585
500,84
1198,29
969,241
664,474
152,738
301,409
171,864
1208,329
1086,564
1145,551
207,710
114,605
1028,394
282,394
426,453
1151,308
299,269
448,57
224,164
146,145
610,836
1202,535
1114,737
636,550
838,754
1272,848
1059,102
1051,469
894,261
1230,862
627,45
554,597
85,44
560,537
341,480
1298,530
1242,535
1021,324
132,572
271,127
1155,7
1121,18
800,306
758,338
1166,60
125,581
311,171
457,607
1257,782
277,9
1285,730
724,47
418,509
1193,572
733,576
1297,205
289,581
1048,565
418,725
147,57
249,542
140,798
199,404
1109,16
1292,728
73,504
546,87
565,182
537,98
1143,479
139,72
912,78
1285,778
150,82
681,575
1009,92
1096,701
1002,74
862,200
631,816
282,210
289,133
363,235
835,387
1285,147
1203,577
1136,858
1160,812
1185,784
1113,305
1210,561
1275,263
194,493
38,750
1029,869
1009,378
334,185
425,124
74,70
1151,834
1039,0
808,410
676,285
1163,2
214,701
788,676
1113,753
15,199
146,77
1238,838
152,156
1288,880
589,471
251,326
306,382
372,684
582,56
1029,781
671,619
291,693
681,319
523,334
55,63
454,884
436,703
633,233
885,435
1285,164
522,124
341,190
239,259
197,305
196,157
622,536
1205,702
1069,43
293,361
276,452
281,473
401,838
683,269
377,773
749,742
252,294
938,836
1158,604
773,98
1288,513
1022,592
120,423
1223,707
1166,8
999,619
68,271
522,493
567,642
629,575
458,582
544,360
22,14
360,14
289,520
283,705
1238,61
557,562
167,479
1242,399
870,147
669,765
1128,561
893,315
618,178
922,155
938,684
1120,303
241,403
1128,614
401,166
688,582
793,115
647,668
331,696
636,614
445,883
465,102
1225,24
474,189
446,679
467,411
100,718
731,120
768,814
112,29
1305,82
502,613
388,662
1020,730
348,470
390,494
610,612
1039,319
922,232
251,120
634,554
1116,557
3,498
944,312
172,281
1266,164
634,312
852,157
639,226
144,820
294,513
468,768
1059,550
176,495
117,443
1084,718
182,754
561,733
497,252
380,660
318,768
586,154
221,319
489,343
1097,101
1084,878
36,724
159,386
453,878
811,444
27,381
933,325
1007,691
962,833
711,254
184,609
373,322
1197,782
1022,886
746,180
224,730
1176,183
1116,136
1116,269
69,798
25,778
1124,574
1061,659
624,478
1089,640
1272,144
1163,669
1121,96
189,880
561,152
914,180
43,346
236,509
174,281
754,229
423,561
365,772
350,432
124,527
194,625
1053,518
540,605
892,169
556,229
1071,259
49,560
940,165
353,409
214,193
852,694
10,324
3,396
692,178
711,624
636,445
887,817
880,340
618,58
1164,217
821,119
882,128
415,550
72,68
862,57
934,65
1019,201
788,134
288,886
353,652
346,74
227,707
350,656
1208,565
979,198
98,217
544,534
1272,750
631,458
549,799
1113,589
1012,729
651,162
933,560
1160,880
185,334
281,2
229,348
159,834
659,870
925,304
343,322
361,626
226,278
679,458
331,610
224,106
278,829
1185,38
274,682
363,873
746,266
289,346
761,704
483,752
694,255
45,197
472,568
517,194
850,829
1029,444
50,142
85,472
914,271
363,659
366,816
970,642
502,738
1173,880
282,52
228,817
264,94
1171,463
992,810
236,390
172,532
927,289
438,234
197,309
485,194
124,326
759,280
1138,810
918,441
1166,298
987,696
882,869
1082,817
330,252
72,277
957,409
117,796
726,106
25,164
293,626
937,25
1176,631
1171,72
560,460
463,877
974,126
1241,798
1210,718
827,752
497,662
1193,443
139,809
1086,554
1096,528
631,78
182,561
780,120
507,387
577,646
565,712
567,792
418,390
634,648
181,481
565,56
1163,837
301,378
351,339
609,647
1170,350
1086,730
781,558
520,711
445,546
1223,187
405,715
1307,498
1205,799
1310,480
1255,254
446,742
616,751
888,535
803,837
1061,211
454,626
518,460
465,880
1017,626
1130,257
679,78
440,147
836,301
90,180
502,260
967,423
1061,442
1170,798
10,346
1178,572
455,404
435,656
351,555
502,484
908,485
1004,176
617,334
753,562
241,491
1096,162
313,241
200,626
189,96
857,374
676,554
599,158
179,725
894,185
967,883
1245,326
636,449
1302,474
555,705
522,760
15,275
530,297
750,21
927,829
256,78
1091,275
400,826
349,681
64,105
1205,78
353,254
565,502
413,390
802,145
1225,44
354,348
144,74
154,84
557,332
